Category,Title,Url
cultura/cine-y-tv,¡Disney tiene un nuevo clásico! 'Encanto' sobrepasa todas las expectativas,https://www.eltiempo.com/cultura/cine-y-tv/encanto-la-nueva-pelicula-de-disney-sobrepasa-las-expectativas-634698
colombia/medellin,EPM y constructores de Hidroituango llegaron a un preacuerdo,https://www.eltiempo.com/colombia/medellin/hidroituango-epm-y-constructores-hacen-preacuerdo-para-terminar-la-obra-634797
deportes/futbol-internacional,Diego Maradona: un año de misterio en la muerte del mito,https://www.eltiempo.com/deportes/futbol-internacional/diego-armando-maradona-a-un-ano-de-su-muerte-asi-va-la-investigacion-634553
politica/proceso-de-paz,‘Colombia es hoy un símbolo de paz para el mundo’: Guterres,https://www.eltiempo.com/politica/proceso-de-paz/antonio-guterres-entrevista-y-detalles-de-su-visita-a-colombia-634688
bogota/puntos-de-manifestaciones-en-bogota-hoy-25-de-noviembre-movilidad-634710,Estos son los puntos de manifestaciones para este jueves en Bogotá,https://www.eltiempo.com/bogota/puntos-de-manifestaciones-en-bogota-hoy-25-de-noviembre-movilidad-634710
deportes/futbol-internacional,Revelan fuerte discusión entre Cristiano Ronaldo y Juan Guillermo Cuadrado,https://www.eltiempo.com/deportes/futbol-internacional/fuerte-discusion-entre-juan-guillermo-cuadrado-y-cristiano-ronaldo-634827
politica/partidos-politicos,Las tres fracturas que sacuden hoy al Centro Democrático,https://www.eltiempo.com/politica/partidos-politicos/las-tres-fracturas-que-enfrenta-hoy-el-centro-democratico-analisis-634784
unidad-investigativa/ataques-con-acido-en-chapinero-aparecen-primeras-pistas-634640,Las cinco pistas sobre la banda del ácido que ataca en Chapinero,https://www.eltiempo.com/unidad-investigativa/ataques-con-acido-en-chapinero-aparecen-primeras-pistas-634640
economia/empresas,Dian conmina a influenciadores para que paguen sus impuestos por publicidad,https://www.eltiempo.com/economia/empresas/las-razones-por-las-que-la-dian-le-puso-el-ojo-a-los-influenciadores-634809
deportes/futbol-colombiano,Faustino Asprilla se acogió a ley de reorganización de deudas,https://www.eltiempo.com/deportes/futbol-colombiano/tino-asprilla-se-acogio-a-la-ley-de-insolvencia-ante-la-supersociedades-634853
justicia/cortes,Corte Suprema llama a Jennifer Arias a versión libre por plagio de tesis,https://www.eltiempo.com/justicia/cortes/jennifer-arias-corte-suprema-la-llama-a-version-libre-por-plagio-de-tesis-634757
colombia/barranquilla,El regalo que Neymar le envió a un niño en Barranquilla,https://www.eltiempo.com/colombia/barranquilla/neymar-jugador-del-psg-le-hizo-un-regalo-a-un-nino-de-barranquilla-634771
podcast/los-talentos-que-mas-buscan-las-empresas-634765,(Pódcast) ¿Cuáles son los talentos que más buscan las compañías?,https://www.eltiempo.com/podcast/los-talentos-que-mas-buscan-las-empresas-634765
opinion/editorial,Sí se pudo,https://www.eltiempo.com/opinion/editorial/si-se-pudo-editorial-el-tiempo-634389
economia/empresas,Dian conmina a influenciadores para que paguen sus impuestos por publicidad,https://www.eltiempo.com/economia/empresas/las-razones-por-las-que-la-dian-le-puso-el-ojo-a-los-influenciadores-634809
deportes/futbol-colombiano,Faustino Asprilla se acogió a ley de reorganización de deudas,https://www.eltiempo.com/deportes/futbol-colombiano/tino-asprilla-se-acogio-a-la-ley-de-insolvencia-ante-la-supersociedades-634853
justicia/cortes,Corte Suprema llama a Jennifer Arias a versión libre por plagio de tesis,https://www.eltiempo.com/justicia/cortes/jennifer-arias-corte-suprema-la-llama-a-version-libre-por-plagio-de-tesis-634757
colombia/barranquilla,El regalo que Neymar le envió a un niño en Barranquilla,https://www.eltiempo.com/colombia/barranquilla/neymar-jugador-del-psg-le-hizo-un-regalo-a-un-nino-de-barranquilla-634771
justicia/cortes,Corte Suprema elige a tres nuevos magistrados,https://www.eltiempo.com/justicia/cortes/corte-suprema-elige-a-tres-nuevos-magistrados-634807
colombia/cali,Familiares de fallecida en vuelo a Madrid no han avanzado en repatriación,https://www.eltiempo.com/colombia/cali/celmira-ocampo-drama-de-familiares-para-repatriar-su-cuerpo-de-espana-634829
/www.blackfridaycol.com,Cuatro ‘tips’ para ahorrar durante Black Friday Colombia,https://www.eltiempo.comhttps://www.blackfridaycol.com/noticias/cuatro-tips-para-ahorrar-durante-black-friday-colombia?utm_source=contenido&utm_medium=propios&utm_campaign=CEET_CEET_BLACKFRIDAY_PROPIOS_ElTiempocom_Home_Espacio1_Ahorrar_BF&utm_content=EXPEC_25_NOV
opinion/editorial,Sí se pudo,https://www.eltiempo.com/opinion/editorial/si-se-pudo-editorial-el-tiempo-634389
/www.blackfridaycol.com,Cuatro ‘tips’ para ahorrar durante Black Friday Colombia,https://www.eltiempo.comhttps://www.blackfridaycol.com/noticias/cuatro-tips-para-ahorrar-durante-black-friday-colombia?utm_source=contenido&utm_medium=propios&utm_campaign=CEET_CEET_BLACKFRIDAY_PROPIOS_ElTiempocom_Home_Espacio1_Ahorrar_BF&utm_content=EXPEC_25_NOV
justicia/paz-y-derechos-humanos,Aparecidas: buscarlas hasta encontrarlas,https://www.eltiempo.com/justicia/paz-y-derechos-humanos/aparecidas-buscarlas-hasta-encontrarlas-634695
bogota/salud-mental-de-ninos-y-adolescentes-empeoro-con-la-pandemia-634641,Las cicatrices de la pandemia: cuando el miedo destruye,https://www.eltiempo.com/bogota/salud-mental-de-ninos-y-adolescentes-empeoro-con-la-pandemia-634641
politica/proceso-de-paz,¿Duque toma distancia de Uribe frente a la paz?,https://www.eltiempo.com/politica/proceso-de-paz/proceso-de-paz-se-aparta-duque-de-uribe-634735
economia/sector-financiero,"‘Vuelvo a mis raíces, a donde pertenezco, el campo’: Efraín Forero",https://www.eltiempo.com/economia/sector-financiero/efrain-forero-cuenta-lo-que-hara-tras-dejar-la-presidencia-de-davivienda-634675
vida/viajar,Turkish Airlines vuela ahora todos los días entre Bogotá y Estambul,https://www.eltiempo.com/vida/viajar/turkish-airlines-habilito-un-vuelo-diario-entre-bogota-y-estambul-634652
mundo/eeuu-y-canada,Mujer revisó el celular de su esposo y descubrió que iba a asesinarla,https://www.eltiempo.com/mundo/eeuu-y-canada/reviso-el-celular-de-su-esposo-y-se-dio-cuenta-que-queria-asesinarla-634822
mas-contenido/alianzas-la-clave-de-claro-para-promover-la-inclusion-laboral-y-social-634586,"Alianzas, la clave de Claro para promover la inclusión laboral y social",https://www.eltiempo.com/mas-contenido/alianzas-la-clave-de-claro-para-promover-la-inclusion-laboral-y-social-634586
cultura/gente,‘Echar un polvo’: ¿por qué solemos referirnos al sexo con esa expresión?,https://www.eltiempo.com/cultura/gente/por-que-decimos-echar-un-polvo-cuando-tenemos-relaciones-sexuales-634823
deportes/futbol-colombiano,"Atlético Nacional, ¡campeón de la Copa Colombia!",https://www.eltiempo.com/deportes/futbol-colombiano/atletico-nacional-es-campeon-de-la-copa-betplay-2021-634689
podcast/el-primer-cafe,Tercera dosis de la vacuna: lo que hay que saber para seguir el esquema,https://www.eltiempo.com/podcast/el-primer-cafe/tercera-dosis-de-vacuna-para-mayores-de-18-anos-lo-que-hay-que-saber-634699
vida/viajar,Turkish Airlines vuela ahora todos los días entre Bogotá y Estambul,https://www.eltiempo.com/vida/viajar/turkish-airlines-habilito-un-vuelo-diario-entre-bogota-y-estambul-634652
